,email,faximile,id,jenis_rs,kode_kecamatan,kode_kelurahan,kode_kota,kode_pos,latitude,location.alamat,location.latitude,location.longitude,longitude,nama_rs,telepon,website,properties.kode_kecamatan,properties.kode_kota,properties.kode_provinsi,properties.nama_kecamatan,properties.nama_kota,properties.nama_provinsi
38,direksi@rs-royaltaruma.com,['56958589'],42,Rumah Sakit Umum,3174040,3174040001,3174,11470,-6.166489,Jl. Daan Mogot  No. 34,-6.166489,106.785637,106.785637,Royal Taruma,"['56958338', '56967788']",www.rs-royaltaruma.com,3174040.0,3174.0,31.0,Grogol Petamburan,Jakarta Barat,DAERAH KHUSUS IBUKOTA JAKARTA
39,patria_ikkt@yahoo.co.id,['5346387'],43,Rumah Sakit Umum,3174030,3174030001,3174,11480,-6.197132,"Jalan Cendrawasih Nomor 1 Komp.Dep.Han, Mabes TNI  Slipi",-6.197132,106.7929,106.7929,Patria IKKT,['5308981-5308984'],,3174030.0,3174.0,31.0,Palmerah,Jakarta Barat,DAERAH KHUSUS IBUKOTA JAKARTA
40,customer_service@rspurimandirikedoya.com,['5816185 ; 5828499'],44,Rumah Sakit Umum,3174020,3174020006,3174,11520,-6.187422,Jl. Kedoya Raya / Al-Kamal No. 2,-6.187422,106.761673,106.761673,Puri Mandiri Kedoya,['5802126 ; 5828299'],,3174020.0,3174.0,31.0,Kebon Jeruk,Jakarta Barat,DAERAH KHUSUS IBUKOTA JAKARTA
41,info@grhakedoya.com,['56982233'],45,Rumah Sakit Umum,3174020,3174020007,3174,11520,-6.168242,Jl. Panjang Arteri 26,-6.168242,106.765175,106.765175,Grha Kedoya,"['56982222', '29910999']",www.grhakedoya.com,3174020.0,3174.0,31.0,Kebon Jeruk,Jakarta Barat,DAERAH KHUSUS IBUKOTA JAKARTA
42,info@siloamhospitals.com,['5321766'],46,Rumah Sakit Umum,3174020,3174020004,3174,11530,-6.190661,Jl. Raya Pejuangan Kav. 8,-6.190661,106.76384,106.76384,Siloam Hospitals Kebon Jeruk,['5300887 ; 8 ; 9'],www.siloamhospital.com,3174020.0,3174.0,31.0,Kebon Jeruk,Jakarta Barat,DAERAH KHUSUS IBUKOTA JAKARTA
43,mph-mkt@rad.net.id,['5305291'],47,Rumah Sakit Umum,3174020,3174020001,3174,11560,-6.218273,Jl. Raya Kebayoran Lama No. 64 ,-6.218273,106.77832,106.77832,Medika Permata Hijau,['5347411 - 5305288'],www.rsmph.co.id,3174020.0,3174.0,31.0,Kebon Jeruk,Jakarta Barat,DAERAH KHUSUS IBUKOTA JAKARTA
44,rspi@rspondokindah.co.id,['25695205'],48,Rumah Sakit Umum,3174010,3174010005,3174,11610,-6.185972,Jl. Puri Indah Raya  Blok S-2,-6.185972,106.735947,106.735947,Pondok Indah - Puri Indah,"['25695222', '25695200']",www.rspondokindah.co.id,3174010.0,3174.0,31.0,Kembangan,Jakarta Barat,DAERAH KHUSUS IBUKOTA JAKARTA
45,hafifahany@rsudcengkareng.com,"['54372884 ; 54374844 ', '5442693']",49,Rumah Sakit Umum Daerah,3174070,3174070005,3174,11730,-6.142909,"Jl. Kamal Raya, Bumi Cengkareng Indah",-6.142909,106.735199,106.735199,Cengkareng,"['5442692 ', '54372874 - 6']",www.rsudcengkareng.com,3174070.0,3174.0,31.0,Cengkareng,Jakarta Barat,DAERAH KHUSUS IBUKOTA JAKARTA
46,daanmogot@herminahospitalgroup.com,['5449869'],50,Rumah Sakit Umum,3174080,3174080002,3174,11840,-6.152913,"Jl. Kintamani Raya No. 2, Kawasan Daan Mogot Baru",-6.152913,106.71241,106.71241,Hermina Daan Mogot,['5408989 - 5411109'],www.herminahospitalgroup.com,3174080.0,3174.0,31.0,Kalideres,Jakarta Barat,DAERAH KHUSUS IBUKOTA JAKARTA
47,"dr.maulana@gmail.com, syafik_a@hotmail.com, humasrspp@pertamedika.co.id","['7209811', '7203540']",52,Rumah Sakit Umum,3171060,3171060007,3171,12120,-6.240607,Jl. Kyai Maja No. 43,-6.240607,106.792831,106.792831,Pusat Pertamina ,['7219202-7200290'],www.rspp.co.id,3171060.0,3171.0,31.0,Kebayoran Baru,Jakarta Selatan,DAERAH KHUSUS IBUKOTA JAKARTA
48,rsiamtp@rsiamtp.com,['7234823'],53,Rumah Sakit Umum,3171060,3171060006,3171,12130,-6.241654,Jl. Gandaria I / 20,-6.241654,106.787193,106.787193,Muhammadiyah Taman Puring,"['7208358', '7250243']",www.rsiamtp.com,3171060.0,3171.0,31.0,Kebayoran Baru,Jakarta Selatan,DAERAH KHUSUS IBUKOTA JAKARTA
49,,['7248175 - 7222038'],54,Rumah Sakit Umum,3171060,3171060006,3171,12140,-6.244061,Jl. Gandaria Tengah II No. 6 - 14,-6.244061,106.790398,106.790398,Gandaria,['7250718-7203311'],,3171060.0,3171.0,31.0,Kebayoran Baru,Jakarta Selatan,DAERAH KHUSUS IBUKOTA JAKARTA
50,rsyadika@yahoo.com,['72895046'],55,Rumah Sakit Umum,3171050,3171050002,3171,12240,-6.255353,Jalan  Ciputat Raya  Nomor 5,-6.255353,106.777405,106.777405,Yadika Kebayoran Lama,"['7291074', '7291077']",,3171050.0,3171.0,31.0,Kebayoran Lama,Jakarta Selatan,DAERAH KHUSUS IBUKOTA JAKARTA
51,rspi@rspondokindah.co.id,['7502324'],56,Rumah Sakit Umum,3171050,3171050001,3171,12310,-6.283649,"Jl. Metro Duta Kav. UE,  Pondok Indah",-6.283649,106.781296,106.781296,Pondok Indah - Pondok Indah,['7657525-7692252'],www.rspondokindah.co.id,3171050.0,3171.0,31.0,Kebayoran Lama,Jakarta Selatan,DAERAH KHUSUS IBUKOTA JAKARTA
52,"rs.sespimma_polri@yahoo.co.id, yenifebrianti66@yahoo.com",['021-7666106'],57,Rumah Sakit Umum,3171050,3171050001,3171,12310,-6.286687,Jalan  Ciputat Raya Nomor 40,-6.286687,106.770523,106.770523,Bhayangkara Sespimma Polri,['021-7650384 ; 7666087 ; 7692919'],,3171050.0,3171.0,31.0,Kebayoran Lama,Jakarta Selatan,DAERAH KHUSUS IBUKOTA JAKARTA
53,"pemasaranrsds@yahoo.com, humas@suyotohospital.com","['77884000', '73425817']",58,Rumah Sakit Umum,3171040,3171040001,3171,12330,-6.267451,Jl. R.C. Veteran No. 178,-6.267451,106.766129,106.766129,Dr. Suyoto,['7342581'],www.suyotohospital.com,3171040.0,3171.0,31.0,Pesanggrahan,Jakarta Selatan,DAERAH KHUSUS IBUKOTA JAKARTA
54,rsupf@fatmawatihospita.com,['7690123 - 7504022'],59,Rumah Sakit Umum Pusat,3171030,3171030003,3171,12430,-6.295009,Jl. RS. Fatmawati,-6.295009,106.795578,106.795578,Fatmawati ,"['7660552', '7501524']",www.fatmawatihospital.com,3171030.0,3171.0,31.0,Cilandak,Jakarta Selatan,DAERAH KHUSUS IBUKOTA JAKARTA
55,"dwilaras_p@yahoo.com,  info@rssetiamitra.co.id",['7656875'],60,Rumah Sakit Umum,3171030,3171030003,3171,12430,-6.281337,Jl. RS Fatmawati No. 80 - 82,-6.281337,106.795708,106.795708,Setia Mitra,['7656000'],,3171030.0,3171.0,31.0,Cilandak,Jakarta Selatan,DAERAH KHUSUS IBUKOTA JAKARTA
56,irna.hardiawan@siloamhospitals.com,[''],61,Rumah Sakit Umum,3171030,3171030001,3171,12430,-6.292365,Jl. RA. Kartini No.8,-6.292365,106.783905,106.783905,Siloam TB Simatupang,['29531900'],www.siloamhospital.com,3171030.0,3171.0,31.0,Cilandak,Jakarta Selatan,DAERAH KHUSUS IBUKOTA JAKARTA
57,,[''],62,Rumah Sakit Umum,3171030,3171030003,3171,12440,-6.298736,Jl. Lebak Bulus I  RT.006 / RW.004,-6.298736,106.785728,106.785728,Mayapada,[''],,3171030.0,3171.0,31.0,Cilandak,Jakarta Selatan,DAERAH KHUSUS IBUKOTA JAKARTA
58,prikasih@cbn.net.id,['7505148'],63,Rumah Sakit Umum,3171030,3171030002,3171,12450,-6.314489,Jl. RS. Fatmawati No. 74  RT.005 / RW.01,-6.314489,106.793518,106.793518,Prikasih,"['7501192', '7504669']",www.rsprikasih.com,3171030.0,3171.0,31.0,Cilandak,Jakarta Selatan,DAERAH KHUSUS IBUKOTA JAKARTA
59,rs_sigaraya@pdpersi.co,['7970494'],64,Rumah Sakit Umum,3171020,3171020006,3171,12510,-6.272883,Jl. Siaga Raya Kav. 4 - 8,-6.272883,106.838951,106.838951,Siaga Raya,['7972750-7972790'],,3171020.0,3171.0,31.0,Pasar Minggu,Jakarta Selatan,DAERAH KHUSUS IBUKOTA JAKARTA
60,"enytiar@yahoo.com, layanan@rsmarinir.com",['7812764'],65,Rumah Sakit Umum,3171020,3171020001,3171,12560,-6.305478,Jl. Raya Cilandak  KKO,-6.305478,106.813354,106.813354,Rumkital Marinir Cilandak,"['7805296', '7805415']",,3171020.0,3171.0,31.0,Pasar Minggu,Jakarta Selatan,DAERAH KHUSUS IBUKOTA JAKARTA
61,md_azri@yahoo.com,['78885063'],66,Rumah Sakit Umum,3171010,3171010001,3171,12630,-6.344991,Jalan  Warung Silah  Nomor 1  RT.008 / RW.05,-6.344991,106.813705,106.813705,Ali Sibroh Malisi,"['021-7868172', '7270681']",,3171010.0,3171.0,31.0,Jagakarsa,Jakarta Selatan,DAERAH KHUSUS IBUKOTA JAKARTA
62,marketing@rszahirah.com,['7270013'],67,Rumah Sakit Umum,3171010,3171010004,3171,12690,-6.335719,Jl. Sirsak No. 21,-6.335719,106.823326,106.823326,Zahirah,"['7872210', '78888723']",www.rszahirah.com,3171010.0,3171.0,31.0,Jagakarsa,Jakarta Selatan,DAERAH KHUSUS IBUKOTA JAKARTA
63,rs_jmc@cbn.net.id,['7940838'],68,Rumah Sakit Umum,3171080,3171080001,3171,12740,-6.271507,Jl. Warung Buncit Raya No. 15,-6.271507,106.830147,106.830147,Jakarta Medical Center,['7985177-7980888'],,3171080.0,3171.0,31.0,Pancoran,Jakarta Selatan,DAERAH KHUSUS IBUKOTA JAKARTA
64,,['7996505'],69,Rumah Sakit Umum,3171080,3171080003,3171,12760,-6.254546,Jalan Duren Tiga Raya Nomor 20  RT.004 / RW.01,-6.254546,106.83213,106.83213,Siloam Asri,['7992211'],,3171080.0,3171.0,31.0,Pancoran,Jakarta Selatan,DAERAH KHUSUS IBUKOTA JAKARTA
65,customer@rs-triadipa.com,['7974074'],70,Rumah Sakit Umum,3171080,3171080004,3171,12780,-6.250846,Jl. Raya Pasar Minggu No. 3 A,-6.250846,106.841957,106.841957,Tria Dipa,['7974071-73'],,3171080.0,3171.0,31.0,Pancoran,Jakarta Selatan,DAERAH KHUSUS IBUKOTA JAKARTA
66,,['8311760'],71,Rumah Sakit Umum,3171090,3171090002,3171,12810,-6.242549,Jl. MT. Haryono No. 8,-6.242549,106.849945,106.849945,Tebet,['8307540'],,3171090.0,3171.0,31.0,Tebet,Jakarta Selatan,DAERAH KHUSUS IBUKOTA JAKARTA
67,,['5710240 ; 5710249'],72,Rumah Sakit Umum,3171100,3171100001,3171,12930,-6.218441,Jl. Jend. Sudirman Kav. 49 ,-6.218441,106.816101,106.816101,Jakarta,['5732241'],,3171100.0,3171.0,31.0,Setiabudi,Jakarta Selatan,DAERAH KHUSUS IBUKOTA JAKARTA
68,mmc@rsmmc.co.id,['5203417'],73,Rumah Sakit Umum,3171100,3171100003,3171,12940,-6.219806,Jl. HR. Rasuna Said Kav. C-21 Kuningan,-6.219806,106.832146,106.832146,Metropolitan Medical Center,['5203435'],www.rsmmc.co.id/mmc@rsmmc.co.id,3171100.0,3171.0,31.0,Setiabudi,Jakarta Selatan,DAERAH KHUSUS IBUKOTA JAKARTA
69,"customercare@medistra.com, medistra@cbn.net.id",['5210184'],74,Rumah Sakit Umum,3171100,3171100002,3171,12950,-6.239865,Jl. Jenderal Gatot Subroto Kav. 59,-6.239865,106.833328,106.833328,Medistra,['5210200'],,3171100.0,3171.0,31.0,Setiabudi,Jakarta Selatan,DAERAH KHUSUS IBUKOTA JAKARTA
70,rsagung@pdpersi.co.id,['8305791'],75,Rumah Sakit Umum,3171100,3171100006,3171,12970,-6.209167,Jl. Sultan Agung No. 67,-6.209167,106.846275,106.846275,Agung,['8295971-8294955'],,3171100.0,3171.0,31.0,Setiabudi,Jakarta Selatan,DAERAH KHUSUS IBUKOTA JAKARTA
71,rsadmira@rsadmira.com,['47883199'],77,Rumah Sakit Umum,3172090,3172090007,3172,13210,-6.182741,Jl. Kayu Putih Raya  No. 1  RT.003 / RW.016,-6.182741,106.891495,106.891495,Columbia Asia Pulomas,['47883195'],www.rsadmira.com,3172090.0,3172.0,31.0,Pulo Gadung,Jakarta Timur,DAERAH KHUSUS IBUKOTA JAKARTA
72,normariati70@yahoo.com,['4718081'],78,Rumah Sakit Umum,3172090,3172090006,3172,13210,-6.17582,Jl. Pulomas Barat VI No.20,-6.17582,106.885246,106.885246,Omni Medical Center,['4723332-4722719'],www.omni-hospitals.com,3172090.0,3172.0,31.0,Pulo Gadung,Jakarta Timur,DAERAH KHUSUS IBUKOTA JAKARTA
73,,['4723402'],79,Rumah Sakit Umum,3172090,3172090006,3172,13210,-6.17582,Jalan  Pulomas Timur K. Nomor 2,-6.17582,106.885246,106.885246,Kartika Pulomas ,['4723402 - 4703333'],,3172090.0,3172.0,31.0,Pulo Gadung,Jakarta Timur,DAERAH KHUSUS IBUKOTA JAKARTA
