nama_rumah_sakit,jenis_rumah_sakit,alamat_lokasi_rumah_sakit,kelurahan,kecamatan,kota_administrasi,kode_pos,no_telepon,no_faximile,alamat_website,alamat_email,nama_direktur/kepala_rs,jml_tempat_tidur_per_kelas_vvip,jml_tempat_tidur_per_kelas_vip,jml_tempat_tidur_per_kelas_eksekutif/utama,jml_tempat_tidur_per_kelas_kelas_i,jml_tempat_tidur_per_kelas_kelas_ii,jml_tempat_tidur_per_kelas_kelas_iii,jml_tempat_tidur_per_kelas_perinatal,jml_tempat_tidur_per_kelas_icu,jml_tempat_tidur_per_kelas_picu,jml_tempat_tidur_per_kelas_nicu,jml_tempat_tidur_per_kelas_hcu,jml_tempat_tidur_per_kelas_iccu,jml_tempat_tidur_per_kelas_igd,jml_tempat_tidur_per_kelas_isolasi,jml_tempat_tidur_per_kelas_1_day_care,jml_tempat_tidur_per_kelas_r.operasi,jml_tempat_tidur_per_kelas_k.bersalin,jml_tempat_tidur_per_kelas_hemodialisa,jml_tempat_tidur_per_kelas_r.anak,jml_tempat_tidur_per_kelas_non_kelas,jml_tempat_tidur_per_kelas_lain2
Tambak,Rumah Sakit Khusus Ibu dan Anak,Jl. Tambak No. 18,Pegangsaan,Menteng,Jakarta Pusat,10320,2303444,3902550,www.rsiatambak.com,we_care@rsiatambak.com,"dr. Amir Fauzi, MARS",1,3,4,6,4,11,25,0,0,2,0,0,4,1,0,,,0,,0,
Bunda Jakarta,Rumah Sakit Khusus Ibu dan Anak,Jl. Teuku Cik Ditiro No. 28,Gondangdia,Menteng,Jakarta Pusat,10350,3909692,3101077,www.bunda.co.id,"bundahospital@bunda.co.id, rsbunda@mweb.co.id, galuh.dian@gmail.com","dr. Susi Ramadhani,MARS",4,20,0,4,12,4,29,0,2,16,0,0,3,7,6,3,3,0,20,0,45
FKG Universitas Indonesia,Rumah Sakit Khusus Gigi & Mulut,Jl. Salemba Raya No.4,Kenari,Senen,Jakarta Pusat,10430,213916858,,,rsgm_fkgui@yahoo.com,"drg. Fadli Djazali., Sp.Ort",0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,,,0,,0,7
Salemba Satu Medika,Rumah Sakit Khusus Bedah,Jl. Salemba I No. 11 - 13,Paseban,Senen,Jakarta Pusat,10430,3913336,3926687,www.ssmedika.co.id,info@ssmedika.co.id,"dr. Mevin Handoyo, MKK",2,2,0,4,4,10,0,0,0,0,1,0,1,0,0,,,0,,0,
Yarsi,Rumah Sakit Khusus Gigi & Mulut,Jl. Letjen Suprapto Kav. 13,Cempaka Putih Timur,Cempaka Putih,Jakarta Pusat,10510,,,,,"drg. Liana Zulfa., Sp.Perio., MARS",,,,,,,,,,,,,,,,,,0,,,
Islam Jakarta Sukapura,Rumah Sakit Umum,Jl. Tipar - Cakung No. 5,Sukapura,Cilincing,Jakarta Utara,14140,"4400778, 4400779, 4400781","4400782, 44832228",www.rsijsukapura@.co.id,rsijsukapura@gmail.com,"Dr. Rachmat Mulyana Memet, Sp.Rad",0,3,4,12,36,82,7,2,0,0,3,0,0,6,0,0,0,0,,0,
Pekerja,Rumah Sakit Umum,"Jl. Raya Cakung Cilincing, RT.002/RW.003",Sukapura,Cilincing,Jakarta Utara,14140,29484848,29482875,www.kbn.co.id,rsu.pekerja@gmail.com,"dr. Empat Patonah., M.Kes",0,11,0,21,70,18,3,6,0,0,3,0,6,5,0,0,0,0,0,3,
Firdaus,Rumah Sakit Umum,Jl. Siak J 5 No. 14 - Komplek Bea Cukai,Sukapura,Cilincing,Jakarta Utara,14140,4407322,4400063,,tiar63@yahoo.co.id,"dr. Rianayanti Asmira Rasam, MARS",0,0,0,37,22,37,0,0,0,0,3,0,6,1,0,2,10,0,9,0,0
Koja,Rumah Sakit Umum Daerah,Jl. Deli No. 4 Tanjung Priok,Koja,Koja,Jakarta Utara,14220,43938478,"4352401, 4372273",www.rsudkoja.com,"RSUDKOJA@ymail.com, rsudkoja@yahoo.com, dinalaela.dns@gmail.com","Dr. Theryoto, Sp.Ok, M.Kes",1,14,0,32,64,484,50,24,20,20,12,15,22,28,0,10,34,44,111,0,0
Mitra Keluarga Kelapa Gading,Rumah Sakit Umum,Jl. Bukit Gading Raya Kav. II,Kelapa Gading Barat,Kelapa Gading,Jakarta Utara,14240,45852700,45852727,www.mitrakeluarga.com,kelapagading@mitrakeluarga.com,dr. Julia Sutandar,2,30,0,14,25,30,2,4,2,2,7,5,10,7,0,4,2,7,0,0,0
Gading Pluit,Rumah Sakit Umum,Jl. Boulevard Timur Raya RT. 006 / RW. 02,Pegangsaan Dua,Kelapa Gading,Jakarta Utara,14250,"4521001, 4520201",4520578,,gadingpluit@gadingpluit-hospital.com,"Dr.Barlian Sutedja, SpB.",10,29,2,33,28,22,0,4,1,1,10,0,9,2,7,4,5,6,12,0,0
Pelabuhan Jakarta,Rumah Sakit Umum,"Jl. Kramat Jaya, Tanjung Priok",Tugu Utara,Koja,Jakarta Utara,14260,4403026,"4403551, 4406886",www.rspelabuhan.com,marketing.rspj@gmail.com,"Dr. M. Syaiful Huda Effendi, MM",5,5,0,18,46,55,8,7,0,0,0,0,0,0,0,0,,0,,0,
Mulyasari,Rumah Sakit Umum,Jl. Raya Plumpang Semper No. 19,Tugu Utara,Koja,Jakarta Utara,14260,"4390666, 4393111, 4393888",43935676,www.rsmulyasari.com,info@rsmulyasari.com,"Dr. dr. Achmad Hidayat, Sp.B, MARS",3,3,0,12,32,34,2,6,0,2,0,0,7,5,0,2,8,8,,0,
Port Medical Center,Rumah Sakit Umum,Jl. Enggano No. 10,Tanjung Priok,Tanjung Priok,Jakarta Utara,14310,43902350,43902302,,"tienastari_jpkm@yahoo.com, rekamedis_pmc@yahoo.com","dr. Dedy Nugroho, MARS",0,6,0,5,18,11,3,2,0,0,0,0,4,2,0,2,1,0,0,0,0
Sukmul Sisma Medika,Rumah Sakit Umum,Jl. Tawes No. 18-20,Tanjung Priok,Tanjung Priok,Jakarta Utara,14310,4301269,4301272,,"sriha36@gmail.com, sukmul@indosat.net.id",dr. Erwin Tyrana,3,14,11,16,41,0,0,0,0,0,0,0,2,2,0,,,0,,0,
Puri Medika,Rumah Sakit Umum,Jl. Sungai Bambu Raya No. 5,Sungai Bambu,Tanjung Priok,Jakarta Utara,14330,"43903355, 43901273",43903388,www.purimdika.com,"marketing.purimedika@gmail.com, purmed-medcen@centrin.net.id","dr. Margie Anakotta Hallatu, MARS",3,4,4,13,15,35,4,6,0,1,3,3,8,3,1,3,1,4,0,0,18
Satya Negara,Rumah Sakit Umum,Jl. Agung Utara Raya Blok A No. 1,Sunter Agung,Tanjung Priok,Jakarta Utara,14350,"65836583, 64715200, 64715900","687813, 64717813",www.rssatyanegara.com,"hrd@rssatyanegara.com, inforssn@rssatyanegara.com",dr. Santoso Kurniawan,4,18,7,18,15,17,2,6,0,0,0,0,9,3,0,3,8,3,12,0,0
Royal Progress,Rumah Sakit Umum,Jl. Danau Sunter Utara Blok F 25 No. 12,Sunter Agung,Tanjung Priok,Jakarta Utara,14350,"6459877, 6400261",6400778,www.royalprogress.com,"setdir.rssn@gmail.com, ask.us@royalprogress.com, maryati@royalprogress.com","dr. Ivan R. Srtiadarma, MM",15,4,0,52,30,41,4,2,0,1,2,0,8,5,0,4,4,19,12,0,3
Atma Jaya,Rumah Sakit Umum,Jl. Pluit Raya No. 2,Pejagalan,Penjaringan,Jakarta Utara,14440,"6606121, 6606127",6606122,,rsatmajaya@pdpersi.co.id,"Dr. Albertus M. Lisliyantotot, HM,MMR",0,5,0,2,10,86,3,3,1,3,0,0,10,6,0,,,4,,0,52
Pluit,Rumah Sakit Umum,Jl. Raya Pluit Selatan No. 2,Penjaringan,Penjaringan,Jakarta Utara,14440,"6685006, 6685070",6684878,www.pluit-hospital.com,pluithospital@pluit-hospital.com,"Dr. Soeprianto Wiradjaja, Sp.B",12,46,2,30,12,40,20,9,3,3,16,0,8,2,2,4,0,6,15,0,
Duta Indah,Rumah Sakit Umum,Jl. Teluk Gong Raya No. 12,Pejagalan,Penjaringan,Jakarta Utara,14450,66676188,666676190,,info@rsdutaindah.com,"dr. Tri Yanto, MM",0,4,2,4,8,10,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0
Pantai Indah Kapuk,Rumah Sakit Umum,Jl. Pantai Indah Utara 3 Sektor Utara Timur Blok T,Kapuk Muara,Penjaringan,Jakarta Utara,14460,5880911,5880910,www.pikhospital.co.id,pr@pikhospital.co.id,"Dr. Thomas Peter Budisusetija, MARS",5,47,3,16,45,24,10,8,0,2,0,0,8,1,0,,0,22,0,0,0
Santo Yusuf,Rumah Sakit Khusus Ibu dan Anak,Jl. Ganggeng Raya No.9,Sungai Bambu,Tanjung Priok,Jakarta Utara,14330,43931880,4361330,www.rsiastyusuf.com,rsiastyusuf@gmail.com,"dr.Josephine Fina Jusuf,MARS",0,0,0,2,7,9,0,0,0,0,3,0,5,0,0,1,3,0,7,0,0
Prof.Sulianti Saroso,Rumah Sakit Khusus Penyakit Infeksi,Jl. Sunter Permai Raya,Papanggo,Tanjung Priok,Jakarta Utara,14340,6506559 - 67,6401411,www.rspi-suliantisaroso.com,info@rspi-suliantisaroso.co.id,"dr. Rita Rogayah., Sp.P (K)., MARS",0,2,0,24,16,108,5,5,0,0,10,0,10,13,0,2,1,0,1,0,0
Family,Rumah Sakit Khusus Ibu dan Anak,Pluit Mas I Blok A No. 2A - 5A,Pejagalan,Penjaringan,Jakarta Utara,14450,6695639,6615563,www.rsiafamily.com,"sekretariat@rsiafamily.com, info@rsiafamily.com","dr. Sari Dewi Rosady., M.Gizi",1,2,3,20,8,15,30,0,0,4,4,0,0,1,1,3,5,0,17,0,
Grand Family,Rumah Sakit Khusus Ibu dan Anak,Jl. Pantai Indah Selatan I Komp. Elang Laut Boulevard Kav.I No.1,Kamal Muara,Penjaringan,Jakarta Utara,14470,29673755 - 56,,,sekretaris@rsiagrandfamily.com,dr. Susi Anggraeni,1,13,26,2,10,0,2,0,1,4,2,0,3,2,1,3,8,0,9,0,0
Pelni,Rumah Sakit Umum,Jl. Aipda K.S. Tubun No. 92-94,Slipi,Pal Merah,Jakarta Barat,11410,5480608,5483145,www.rspelni.co.id,rspelni@yahoo.com,"Dr. dr. Fathema Djan Rachmat, Sp.B, Sp.BTKV(K), MPH",0,38,21,156,116,129,10,14,0,1,14,0,36,10,16,8,4,100,35,0,0
Bhakti Mulia,Rumah Sakit Umum,Jl. Aipda K. S. Tubun No. 79,Slipi - Petamburan,Pal Merah,Jakarta Barat,11410,"5481625, 5481262",5331544,,rs.bhaktimulia@yahoo.co.id,"Dr. Antonius TS. Prabowo, MARS",1,0,5,10,12,26,20,0,0,0,1,0,5,4,0,3,3,0,10,0,0
Sumber Waras ,Rumah Sakit Umum,Jl. Kyai Tapa No. 1,Tomang,Grogol Petamburan,Jakarta Barat,11440,"5682011, 5663726",5673122,www.rssumberwaras.com,"bambang.heri@gmail.com, sumberwaras@pdpersi.co.id",Dr. Med Jan Djukardi,0,0,0,12,46,70,4,0,0,0,0,0,0,0,0,,,0,,15,
Ibnu Sina,Rumah Sakit Umum,Jl. Nurdin I No. III RT.008 / RW.07,Grogol,Grogol Petamburan,Jakarta Barat,11450,5670139,5670118,www.rsiaibnusina.blogspot.com,"rsia.ibnusina@gmail.com, rsibnusina1980@gmail.com",Drg. Wahyu Prabowo,0,0,0,2,3,8,5,0,0,0,0,0,3,0,0,1,2,0,4,0,0
Royal Taruma,Rumah Sakit Umum,Jl. Daan Mogot No. 34,Tanjung Duren Utara,Grogol Petamburan,Jakarta Barat,11470,"56958338, 56967788",56958589,www.rs-royaltaruma.com,direksi@rs-royaltaruma.com,"dr. Liman Harijono, MARS, MH",4,14,0,31,34,63,3,3,1,1,4,0,9,5,5,4,4,5,16,0,0
Patria IKKT,Rumah Sakit Umum,"Jl. Cendrawasih No. 1 Komp.Dep.Han, Mabes TNI Slipi",Kemanggisan,Pal Merah,Jakarta Barat,11480,"5308981, 5308984",5346387,,patria_ikkt@yahoo.co.id,"Dr. Noch Tiranduk Mallisa, M.Kes",0,4,0,6,18,37,13,0,0,0,2,0,5,0,0,2,5,15,6,0,
Bina Sehat Mandiri ,Rumah Sakit Umum,Jl. Duri Raya No. 22,Duri Kepa,Kebon Jeruk,Jakarta Barat,11510,"5658870, 5669411 - 12",5603531,,rsiabsm@yahoo.co.id,dr. Adhika Syahputra Lubis,0,1,0,3,12,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Puri Mandiri Kedoya,Rumah Sakit Umum,Jl. Kedoya Raya / Al-Kamal No. 2,Kedoya Selatan,Kebon Jeruk,Jakarta Barat,11520,"5802126,  5828299","5816185, 5828499",,custmerservica@rspurimandirikedoya.com,"dr. Chris A. Yohannes, Sp.An.KIC",2,3,0,0,0,0,6,8,2,4,0,0,5,1,0,,,8,,0,
Grha Kedoya,Rumah Sakit Umum,Jl. Panjang Arteri 26,Kedoya Utara,Kebon Jeruk,Jakarta Barat,11520,"56982222, 29910999",56982233,www.grhakedoya.com,info@grhakedoya.com,Dr. Kristianto Budiono,6,89,1,24,12,50,18,6,1,4,3,2,10,2,2,4,10,18,27,0,0
Siloam Kebon Jeruk,Rumah Sakit Umum,Jl. Raya Pejuangan Kavling 8,Kebun Jeruk,Kebon Jeruk,Jakarta Barat,11530,5300887 - 89,5321766,www.siloamhospital.com,info@siloamhospitals.com,"Dr.Agus Tanjung, MHA",6,52,0,39,48,37,12,7,0,8,3,4,9,7,0,,,13,,0,0
Anggrek Mas,Rumah Sakit Umum,Jl. Anggrek No. 2 B RT.009 / RW.02,Kelapa Dua,Kebon Jeruk,Jakarta Barat,11550,"5305720, 53672017, 53672018",53672019,www.rsanggrekmas.com,rsanggrekmas@gmail.com,dr. Fitri Dian Pramesti,0,1,0,6,6,12,24,0,0,0,1,0,3,2,0,,,0,,0,
Medika Permata Hijau,Rumah Sakit Umum,Jl. Raya Kebayoran Lama No. 64,Sukabumi Selatan,Kebon Jeruk,Jakarta Barat,11560,"5347411, 5305288",5305291,www.rsmph.co.id,mph-mkt@rad.net.id,"Dr.Achmad Hardiman, Sp.KJ, MARS",2,14,0,25,16,9,0,3,0,0,1,0,7,1,0,,,2,,0,
Pondok Indah - Puri Indah,Rumah Sakit Umum,Jl. Puri Indah Raya Blok S-2,Kembangan Selatan,Kembangan,Jakarta Barat,11610,"25695222, 25695200",25695202 - 5,www.rspondokindah.co.id,rspi@rspondokindah.co.id,"Dr. Mus Aida, MARS",0,35,2,20,15,15,10,5,0,2,0,0,11,5,0,3,7,5,0,0,0
Cinta Kasih Tzu Chi,Rumah Sakit Umum,Jl. Kamal Raya Outer Ring Road,Cengkareng Timur,Cengkareng,Jakarta Barat,11730,55956850,"55951985, 55963681",,"rskb_tzuchi@yahoo.com, tonikris57@yahoo.co.id","Dr. Tonny Christianto MS, Sp.B.MM",0,0,0,0,0,88,8,2,0,4,3,0,6,1,0,5,3,0,11,0,12
Cengkareng,Rumah Sakit Umum Daerah,"Jl. Kamal Raya, Bumi Cengkareng Indah",Cengkareng Timur,Cengkareng,Jakarta Barat,11730,"5442692, 54372874 - 6","54372884, 54374844, 5442693",www.rsudcengkareng.com,"ssugino@ymail.com, hafifahany@rsudcengkareng.com",Dr. Sugino Kesuma Karo Karo Samura,0,4,6,10,19,192,13,3,2,2,20,1,15,45,0,,,29,,0,
Ciputra Citra Garden,Rumah Sakit Umum,Jl. Boulevard Blok G-01/01 Citra 5 Garden City,Pegadungan,Kalideres,Jakarta Barat,11830,22557888,,,,"dr. G.A.Kusmiati., MARS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hermina Daan Mogot,Rumah Sakit Umum,"Jl. Kintamani Raya No. 2, Kawasan Daan Mogot Baru",Kalideres,Kalideres,Jakarta Barat,11840,"5408989, 5411109",5449869,www.herminahospitalgroup.com,daanmogot@herminahospitalgroup.com,"Dr. I. Ichsan Hanafi, MARS",2,23,0,31,45,68,9,15,2,3,3,0,16,4,0,5,6,23,33,0,0
Mitra Keluarga Kalideres,Rumah Sakit Umum,Jl. Peta Selatan No. 1 RT.007/RW.011,Semanan,Kalideres,Jakarta Barat,11850,"22523700, 22523701",22523702,,kalideres@mitrakeluarga.com,dr. Fransisca Dewi Permatasari T,0,3,3,6,12,31,2,2,0,2,0,0,10,2,0,2,3,2,0,0,3
Aries,Rumah Sakit Khusus Ibu dan Anak,Jl. Tanah Sereal VII No. 9,Tanah Sereal,Tambora,Jakarta Barat,11210,"6496524, 6497506, 6396393","6497506, 6591410",,rsia_aries@yahoo.com,dr. Debby Dian Suwito,0,1,1,4,4,15,3,0,0,1,1,0,2,0,1,,,0,,0,
Dharmais,Rumah Sakit Khusus Kanker,Jl. Letjen S. Parman Kav. 84-86,Kota Bambu Selatan,Pal Merah,Jakarta Barat,11420,5681570,"5681579, 5681579",www.dharmais.co.id,"elfira_zaenal@yahoo.com, dharmais@dharmais.co.id ","Prof. dr. Abdul Kadir, Ph.D, Sp. THT-KL (K)",2,18,0,130,78,160,0,7,0,0,10,0,9,2,0,0,0,10,0,0,0
Harapan Kita,Rumah Sakit Anak dan Bunda,"Jl. Letjen S. Parman Kav. 87, Slipi",Kota Bambu Utara,Pal Merah,Jakarta Barat,11420,5668284,"5601816, 5601560",www.rsabhk.co.id,"didi.danukusumo@gmail.com, info@rsabharapankita.co.id","dr. Omo Abdul Madjid, Sp.OG",0,20,40,67,70,58,0,10,0,14,0,0,0,0,0,,,0,,48,
